1619-4500;25;4OR-A Quarterly Journal of Operations Research
0891-0162;20;AAOHN JOURNAL
0149-1423;35;AAPG BULLETIN
1550-7416;45;AAPS Journal
1530-9932;25;AAPS PHARMSCITECH
1532-8813;15;AATCC REVIEW
0001-3072;25;Abacus-A Journal of Accounting Finance and Business Studies
0942-8925;25;ABDOMINAL IMAGING
0025-5858;20;ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG
1085-3375;40;Abstract and Applied Analysis
1012-8255;15;Academia-Revista Latinoamericana de Administracion
1069-6563;40;ACADEMIC EMERGENCY MEDICINE
1040-2446;45;ACADEMIC MEDICINE
1876-2859;40;Academic Pediatrics
1042-9670;25;ACADEMIC PSYCHIATRY
1076-6332;30;ACADEMIC RADIOLOGY
1941-6520;50;Academy of Management Annals
0001-4273;50;ACADEMY OF MANAGEMENT JOURNAL
1537-260X;45;Academy of Management Learning & Education
1558-9080;40;Academy of Management Perspectives
0363-7425;50;ACADEMY OF MANAGEMENT REVIEW
0001-4575;45;ACCIDENT ANALYSIS AND PREVENTION
0898-9621;20;Accountability in Research-Policies and Quality Assurance
0001-4788;30;ACCOUNTING AND BUSINESS RESEARCH
0810-5391;25;Accounting and Finance
0951-3574;35;Accounting Auditing & Accountability Journal
0888-7993;35;Accounting Horizons
0361-3682;45;ACCOUNTING ORGANIZATIONS AND SOCIETY
0001-4826;45;ACCOUNTING REVIEW
0001-4842;50;ACCOUNTS OF CHEMICAL RESEARCH
0949-1775;20;ACCREDITATION AND QUALITY ASSURANCE
0889-325X;30;ACI MATERIALS JOURNAL
0889-3241;30;ACI STRUCTURAL JOURNAL
0360-0300;50;ACM COMPUTING SURVEYS
1550-4832;20;ACM Journal on Emerging Technologies in Computing Systems
0146-4833;35;ACM SIGCOMM Computer Communication Review
0362-1340;20;ACM SIGPLAN NOTICES
1549-6325;25;ACM Transactions on Algorithms
1544-3558;35;ACM Transactions on Applied Perception
1544-3566;20;ACM Transactions on Architecture and Code Optimization
1556-4665;25;ACM Transactions on Autonomous and Adaptive Systems
1529-3785;40;ACM Transactions on Computational Logic
0734-2071;40;ACM TRANSACTIONS ON COMPUTER SYSTEMS
1073-0516;30;ACM Transactions on Computer-Human Interaction
0362-5915;30;ACM TRANSACTIONS ON DATABASE SYSTEMS
1084-4309;20;ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS
1539-9087;30;ACM Transactions on Embedded Computing Systems
0730-0301;50;ACM TRANSACTIONS ON GRAPHICS
1094-9224;30;ACM Transactions on Information and System Security
1046-8188;30;ACM TRANSACTIONS ON INFORMATION SYSTEMS
2157-6904;50;ACM Transactions on Intelligent Systems and Technology
1533-5399;25;ACM Transactions on Internet Technology
1556-4681;40;ACM Transactions on Knowledge Discovery from Data
0098-3500;50;ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE
1049-3301;25;ACM Transactions on Modeling and Computer Simulation
1551-6857;30;ACM Transactions on Multimedia Computing Communications and Applications
0164-0925;30;ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS
1936-7406;20;ACM Transactions on Reconfigurable Technology and Systems
1550-4859;40;ACM Transactions on Sensor Networks
1049-331X;35;ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY
1553-3077;25;ACM Transactions on Storage
1559-1131;40;ACM Transactions on the Web
1063-7710;20;ACOUSTICAL PHYSICS
0814-6039;0;Acoustics Australia
1585-1923;20;Across Languages and Cultures
1944-8244;40;ACS Applied Materials & Interfaces
2155-5435;45;ACS Catalysis
1554-8929;35;ACS Chemical Biology
1948-7193;40;ACS Chemical Neuroscience
2156-8952;40;ACS Combinatorial Science
2161-1653;45;ACS Macro Letters
1948-5875;35;ACS Medicinal Chemistry Letters
1936-0851;45;ACS Nano
2161-5063;40;ACS Synthetic Biology
1091-5397;15;ACSMS HEALTH & FITNESS JOURNAL
1610-1928;25;ACTA ACUSTICA UNITED WITH ACUSTICA
0001-5113;20;ACTA ADRIATICA
0906-4702;20;ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE
0906-4710;20;ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE
0139-3006;15;ACTA ALIMENTARIA
0001-5172;30;ACTA ANAESTHESIOLOGICA SCANDINAVICA
0167-8019;30;ACTA APPLICANDAE MATHEMATICAE
0065-1036;20;ACTA ARITHMETICA
0094-5765;35;ACTA ASTRONAUTICA
0001-5237;30;ACTA ASTRONOMICA
1672-9145;20;ACTA BIOCHIMICA ET BIOPHYSICA SINICA
0001-527X;15;ACTA BIOCHIMICA POLONICA
1726-569X;15;Acta Bioethica
0001-5296;20;ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA
0236-5383;15;ACTA BIOLOGICA HUNGARICA
1742-7061;45;Acta Biomaterialia
0325-2957;15;ACTA BIOQUIMICA CLINICA LATINOAMERICANA
0001-5342;20;ACTA BIOTHEORETICA
0102-3306;20;Acta Botanica Brasilica
0365-0588;20;ACTA BOTANICA CROATICA
1253-8078;15;ACTA BOTANICA GALLICA
0187-7151;15;Acta Botanica Mexicana
0001-5385;15;ACTA CARDIOLOGICA
1011-6842;15;Acta Cardiologica Sinica
0583-6050;15;ACTA CARSOLOGICA
0567-7351;20;ACTA CHIMICA SINICA
1318-0207;20;ACTA CHIMICA SLOVENICA
1508-1109;25;ACTA CHIROPTEROLOGICA
0001-5415;15;Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca
0001-5458;15;ACTA CHIRURGICA BELGICA
1233-2356;15;ACTA CHROMATOGRAPHICA
0102-8650;15;Acta Cirurgica Brasileira
0001-5512;0;Acta Clinica Belgica
0353-9466;15;Acta Clinica Croatica
0108-7673;0;Acta Crystallographica A-Foundation and Advances
0108-7681;0;Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials
0108-2701;0;Acta Crystallographica Section C-Structural Chemistry
0907-4449;0;Acta Crystallographica Section D-Biological Crystallography
1744-3091;0;Acta Crystallographica Section F-Structural Biology Communications
0001-5547;15;ACTA CYTOLOGICA
0001-5555;40;ACTA DERMATO-VENEREOLOGICA
1330-027X;15;Acta Dermatovenerologica Croatica
0940-5429;30;ACTA DIABETOLOGICA
1841-0987;15;Acta Endocrinologica-Bucharest
0374-1036;25;ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE
0873-9749;20;ACTA ETHOLOGICA
0001-5644;15;ACTA GASTRO-ENTEROLOGICA BELGICA
2213-5812;15;Acta Geodaetica et Geophysica
1214-9705;20;Acta Geodynamica et Geomaterialia
1581-6613;15;Acta Geographica Slovenica-Geografski Zbornik
0001-5709;25;ACTA GEOLOGICA POLONICA
1000-9515;25;ACTA GEOLOGICA SINICA-ENGLISH EDITION
1895-6572;0;Acta Geophysica
1861-1125;35;Acta Geotechnica
1854-0171;15;Acta Geotechnica Slovenica
0001-5792;15;ACTA HAEMATOLOGICA
1827-9635;20;Acta Herpetologica
0065-1281;15;ACTA HISTOCHEMICA
0044-5991;15;ACTA HISTOCHEMICA ET CYTOCHEMICA
1318-0185;20;Acta Histriae
0137-1592;20;ACTA ICHTHYOLOGICA ET PISCATORIA
0001-5903;15;ACTA INFORMATICA
1216-8076;20;Acta Linguistica Hungarica
1359-6454;45;ACTA MATERIALIA
0001-5962;50;ACTA MATHEMATICA
0236-5294;20;ACTA MATHEMATICA HUNGARICA
0252-9602;25;ACTA MATHEMATICA SCIENTIA
1439-8516;25;ACTA MATHEMATICA SINICA-ENGLISH SERIES
0168-9673;15;Acta Mathematicae Applicatae Sinica-English Series
0001-5970;30;ACTA MECHANICA
0567-7718;25;ACTA MECHANICA SINICA
0894-9166;25;ACTA MECHANICA SOLIDA SINICA
0393-6384;15;Acta Medica Mediterranea
0386-300X;15;ACTA MEDICA OKAYAMA
1646-0758;15;Acta Medica Portuguesa
0412-1961;25;ACTA METALLURGICA SINICA
1006-7191;30;Acta Metallurgica Sinica-English Letters
0894-0525;20;Acta Meteorologica Sinica
1217-8950;15;ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA
0798-4545;15;Acta Microscopica
1335-1788;15;Acta Montanistica Slovaca
2075-8251;15;Acta Naturae
0065-1400;20;ACTA NEUROBIOLOGIAE EXPERIMENTALIS
0001-6268;25;ACTA NEUROCHIRURGICA
0300-9009;15;ACTA NEUROLOGICA BELGICA
0001-6314;25;ACTA NEUROLOGICA SCANDINAVICA
0001-6322;45;ACTA NEUROPATHOLOGICA
1601-5215;15;ACTA NEUROPSYCHIATRICA
0001-6349;30;ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA
0253-505X;15;ACTA OCEANOLOGICA SINICA
0001-6357;25;ACTA ODONTOLOGICA SCANDINAVICA
1146-609X;25;ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY
0001-6373;20;ACTA OECONOMICA
1509-409X;15;Acta of Bioengineering and Biomechanics
0284-186X;30;ACTA ONCOLOGICA
1755-375X;35;ACTA OPHTHALMOLOGICA
0001-6454;35;ACTA ORNITHOLOGICA
1745-3674;40;Acta Orthopaedica
0001-6462;20;Acta Orthopaedica Belgica
1017-995X;20;Acta Orthopaedica et Traumatologica Turcica
1413-7852;15;Acta Ortopedica Brasileira
0001-6489;20;ACTA OTO-LARYNGOLOGICA
0392-100X;25;Acta Otorhinolaryngologica Italica
0803-5253;30;ACTA PAEDIATRICA
0567-7920;35;ACTA PALAEONTOLOGICA POLONICA
1230-2821;20;ACTA PARASITOLOGICA
0103-2100;15;Acta Paulista de Enfermagem
1000-0569;30;ACTA PETROLOGICA SINICA
1330-0075;20;ACTA PHARMACEUTICA
1671-4083;30;ACTA PHARMACOLOGICA SINICA
0587-4246;15;ACTA PHYSICA POLONICA A
0587-4254;20;ACTA PHYSICA POLONICA B
1000-3290;20;ACTA PHYSICA SINICA
0323-0465;40;ACTA PHYSICA SLOVACA
1000-6818;15;ACTA PHYSICO-CHIMICA SINICA
0137-5881;25;ACTA PHYSIOLOGIAE PLANTARUM
1748-1708;35;Acta Physiologica
